path,guid,author,name,version,new_name,size
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] aerkana2 v1.0.zipmod,Andy.aerkana2,feather,aerkana2,1.0,[feather] aerkana2 v1.0.zipmod,8.48
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] aerkana3 v1.0.zipmod,Andy.aerkana3,feather,aerkana3,1.0,[feather] aerkana3 v1.0.zipmod,8.69
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] aerkana4 v1.0.zipmod,Andy.aerkana4,feather,aerkana4,1.0,[feather] aerkana4 v1.0.zipmod,5.56
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] aerkana5 v1.0.zipmod,Andy.aerkana5,feather,aerkana5,1.0,[feather] aerkana5 v1.0.zipmod,10.35
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] aerkana6 v1.0.zipmod,Andy.aerkana6,feather,aerkana6,1.0,[feather] aerkana6 v1.0.zipmod,11.40
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] Asgard1 v1.0.zipmod,Andy.Asgard1,feather,Asgard1,1.0,[feather] Asgard1 v1.0.zipmod,15.48
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] Asgard2 v1.0.zipmod,Andy.Asgard2,feather,Asgard2,1.0,[feather] Asgard2 v1.0.zipmod,16.53
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] baosanniang1 v1.0.zipmod,Andy.baosanniang1,feather,baosanniang1,1.0,[feather] baosanniang1 v1.0.zipmod,10.49
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] baosanniang10 v1.0.zipmod,Andy.baosanniang10,feather,baosanniang10,1.0,[feather] baosanniang10 v1.0.zipmod,4.98
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] baosanniang2 v1.0.zipmod,Andy.baosanniang2,feather,baosanniang2,1.0,[feather] baosanniang2 v1.0.zipmod,10.50
/mnt/e/Games/HS2/mods/MyMods/feather/[feather] baosanniang3 v1.0.zipmod,Andy.baosanniang3,feather,baosanniang3,1.0,[feather] baosanniang3 v1.0.zipmod,10.71
